lon,lat,so2,no2,voc,co,pm25,pm10,nh3
102.596676671,29.0850958352,0.0,0.0,0.0,0.0,0.0,0.0,1.07569802887
102.627824444,29.0855138511,0.0,0.0,0.0,0.0,0.0,0.0,0.852944780633
102.658972521,29.085923069,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102.690120893,29.0863234887,0.0,0.0,0.0,0.0,0.0,0.0,1.25942284137
102.721269556,29.0867151101,0.0,0.0,0.0,0.0,0.0,0.0,0.0199912320846
102.752418502,29.0870979331,0.0,0.0,0.0,0.0,0.0,0.0,3.24903731731
102.783567725,29.0874719575,0.0,0.0,0.0,0.0,0.0,0.0,2.81778964584
102.814717219,29.0878371832,0.0,0.0,0.0,0.0,0.0,0.0,3.03927190214
102.845866978,29.08819361,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102.877016993,29.0885412378,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102.908167261,29.0888800665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102.939317773,29.089210096,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102.970468524,29.0895313261,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.001619506,29.0898437567,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.032770714,29.0901473878,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.063922142,29.0904422192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.095073782,29.0907282507,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.126225628,29.0910054824,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.157377674,29.0912739141,0.0,0.0,0.0,0.0,0.0,0.0,1.6091044536
103.188529913,29.0915335457,0.0,0.0,0.0,0.0,0.0,0.0,0.242575804864
103.21968234,29.091784377,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.250834946,29.0920264081,0.0,0.0,0.0,0.0,0.0,0.0,0.0877524172544
103.281987727,29.0922596389,0.0,0.0,0.0,0.0,0.0,0.0,0.310888624435
103.313140676,29.0924840691,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.344293785,29.0926996989,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.37544705,29.092906528,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.406600462,29.0931045564,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.437754016,29.0932937841,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.468907706,29.0934742109,0.0,0.0,0.0,0.0,0.0,0.0,0.199322066816
103.500061525,29.0936458368,0.0,0.0,0.0,0.0,0.0,0.0,0.608883592067
103.531215466,29.0938086618,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.562369523,29.0939626858,0.0,0.0,0.0,0.0,0.0,0.0,0.357424301289
103.593523689,29.0941079087,0.0,0.0,0.0,0.0,0.0,0.0,0.729829593207
103.624677959,29.0942443305,0.0,0.0,0.0,0.0,0.0,0.0,1.41808711826
103.655832326,29.094371951,0.0,0.0,0.0,0.0,0.0,0.0,1.03218374401
103.686986783,29.0944907704,0.0,0.0,0.0,0.0,0.0,0.0,1.2615281708
103.718141323,29.0946007885,0.0,0.0,0.0,0.0,0.0,0.0,1.60713260793
103.749295941,29.0947020053,0.0,0.0,0.0,0.0,0.0,0.0,2.40237022135
103.78045063,29.0947944208,0.0,0.0,0.0,0.0,0.0,0.0,1.83241917337
103.811605383,29.0948780349,0.0,0.0,0.0,0.0,0.0,0.0,1.38301659719
103.842760194,29.0949528476,0.0,0.0,0.0,0.0,0.0,0.0,3.0141300586
