ISTACK,LATITUDE,LONGITUDE,STKDM,STKHT,STKTK,STKVE,STKFLW,STKCNT,ROW,COL,XLOCA,YLOCA,LMAJOR,LPING,IFIP,SO2,NOX,VOC,CO,PM25,PM10,NH3
342,37.43070251,104.6443508,3.28,115,230,1.4,3700,,,,,,,,51184,2.1169,1.2404,0.0053,0.256,0.4713,0.8269,0.8269
343,37.43106094,104.6789591,2.62,164,234,3.4,2000,,,,,,,,51182,0.86,1.6274,0.0289,1.3992,0.0396,0.0695,0.0695
344,37.43140955,104.7135677,2.62,164,187,4.21,3100,,,,,,,,51182,11.2107,1.6207,0.0328,1.5886,0.7039,1.2349,1.2349
345,37.43239646,104.8173953,5.9,98,172,1.09,2200,,,,,,,,51182,4.6858,0,0.0917,4.4366,3.1108,5.4576,5.4576
346,37.4327058,104.852005,2.62,164,187,10.13,3259,,,,,,,,51182,6.6153,4.9615,0.0009,0.0427,9.7913,17.1777,17.1777
347,37.43300532,104.8866151,3.28,115,230,38.81,3700,,,,,,,,51182,9.5922,8.3794,0.1235,5.9723,0.6504,1.1411,1.1411
348,37.43329501,104.9212254,2.43,115,262,7.73,3400,,,,,,,,51182,0.0397,1.4465,0.0921,4.4571,0.1948,0.3418,0.3418
349,37.43357489,104.955836,3.28,115,230,1.68,2400,,,,,,,,51182,0.2646,0.4961,0.0063,0.3071,1.3197,2.3153,2.3153
350,37.43546041,105.2327287,2.62,115,221,22.28,8000,,,,,,,,51182,1.9405,3.6384,0.0705,3.4128,10.3695,18.192,18.192
351,37.43730178,106.0980706,2.62,164,187,15.12,3259,,,,,,,,51182,3.5282,6.6153,0.0705,3.4128,11.4221,20.0388,20.0388
352,37.43724777,106.1326846,2.62,115,221,3.38,8000,,,,,,,,51183,14.8182,9.9229,0.0423,2.0477,2.0362,3.5723,3.5723
353,37.43718394,106.1672986,9.84,197,230,1.2,2800,,,,,,,,51183,4.4455,2.9769,0.0127,0.6143,0.6109,1.0717,1.0717
