ISTACK,LATITUDE,LONGITUDE,STKDM,STKHT,STKTK,STKVE,STKFLW,STKCNT,ROW,COL,XLOCA,YLOCA,LMAJOR,LPING,IFIP,SO2,NOX,VOC,CO,PM25,PM10,NH3
481,37.93208573,105.8901618,2.62,148,234,45.8,2000,,,,,,,,51124,71.2686,16.7036,0.0713,3.4469,23.8026,41.759,41.759
482,37.9319128,106.1340291,2.62,164,187,66.81,3259,,,,,,,,51122,25.3917,11.7664,0.1429,6.9108,5.0666,8.8887,8.8887
483,37.92337504,107.3880944,1.64,115,234,9.88,2300,,,,,,,,51122,21.3817,2.0099,0.0219,1.058,1.0247,1.7977,1.7977
484,37.95956384,105.8901492,2.62,164,187,89.07,3259,,,,,,,,51122,37.6167,17.4313,0.2152,10.4089,7.5062,13.1688,13.1688
485,37.95939084,106.1341043,3.28,180,246,24.45,3400,,,,,,,,51122,57.6412,4.3694,0.0506,2.3083,5.6526,9.9169,9.9169
486,37.95932658,106.1689548,2.62,164,187,2.74,3259,,,,,,,,51184,19.7576,11.5767,0.0494,2.3889,0,0,0
487,37.95085014,107.3886207,9.84,197,189,0.76,2600,,,,,,,,51184,56.4504,42.9993,0.2258,10.9208,20.1105,35.2815,35.2815
488,37.98704155,105.8901367,4.59,131,189,0.5,3900,,,,,,,,51184,3.7928,3.5557,0.0152,0.7337,1.3512,2.3705,2.3705
489,37.98680421,106.1690426,3.28,98,194,0.53,3400,,,,,,,,51184,3.1048,1.8192,0.0078,0.3754,0.6913,1.2128,1.2128
490,37.97832484,107.3891474,2.62,164,187,1.01,3259,,,,,,,,51184,6.3507,3.7211,0.0159,0.7679,0,0,0
491,38.01451886,105.8901241,3.28,180,246,2.57,3400,,,,,,,,51184,2.8225,1.6538,0.0071,0.3413,0.6285,1.1025,1.1025
492,38.01428144,106.1691305,4.92,148,201,0.4,2000,,,,,,,,51184,1.6935,0.9923,0.0042,0.2048,0.3771,0.6615,0.6615
493,38.01420725,106.2040061,2.62,115,262,0.2,3000,,,,,,,,51184,1.4113,0.8269,0.0035,0.1706,0.3142,0.5513,0.5513
494,38.00579914,107.3896744,4.59,131,189,13.56,2400,,,,,,,,51184,104.0805,97.5754,0.4162,20.1353,37.0787,65.0503,65.0503
495,38.04199576,105.8901116,9.84,197,189,0.74,2600,,,,,,,,51184,68.8695,10.386,0.1721,8.3271,15.3342,26.9022,26.9022
496,38.04168404,106.2041066,6.56,164,203,1.12,2800,,,,,,,,51184,5.645,3.3076,0.0141,0.6826,1.2569,2.2051,2.2051
497,38.03327303,107.3902018,4.59,148,234,0.98,200,,,,,,,,51184,3.2459,1.9019,0.0081,0.3925,0.7227,1.2679,1.2679
498,38.06947224,105.890099,4.92,148,201,0.47,2000,,,,,,,,51184,2.3991,1.4057,0.006,0.2901,0.5342,0.9372,0.9372
499,38.06916042,106.2042071,2.62,164,187,1.23,3259,,,,,,,,51184,1.9339,1.1334,0.0048,0.2338,0,0,0
500,38.06907627,106.2391078,2.62,164,187,1.17,3259,,,,,,,,51184,2.8225,1.6538,0.0071,0.3413,0,0,0
501,38.09694831,105.8900864,2.62,164,187,2.82,3259,,,,,,,,51184,11.2901,6.6153,0.0282,1.3651,0,0,0
502,38.09695326,105.925,3.28,98,194,0.31,3400,,,,,,,,51184,1.1566,0.6781,0.0029,0.1399,0.2577,0.452,0.452
503,38.09671065,106.1693945,6.56,164,189,0.98,2600,,,,,,,,51124,6.3507,1.4884,0.0063,0.3071,2.121,3.7211,3.7211
504,38.09663638,106.2043078,3.28,148,248,3.88,3600,,,,,,,,51184,84.6756,19.8458,0.0909,4.0954,2.1116,3.7046,3.7046
505,38.1244289,105.925,9.84,197,189,1.24,2600,,,,,,,,51184,134.0697,33.0323,0.3351,16.2106,29.8515,52.371,52.371
506,38.12264087,106.5885866,4.92,148,201,3.34,2000,,,,,,,,51184,22.5802,13.2306,0.0564,2.7302,5.0276,8.8204,8.8204
507,38.1224477,106.623511,8.2,180,189,0.24,2600,,,,,,,,51124,6.3507,1.4884,0.0063,0.3071,2.121,3.7211,3.7211
508,38.15190411,105.925,3.28,148,248,56.95,2800,,,,,,,,51184,71.1143,13.4621,1.164,56.3105,28.2803,49.6146,49.6146
509,38.15011546,106.5888259,4.59,131,189,1.16,2500,,,,,,,,51184,6.774,3.9692,0.0169,0.8191,1.5083,2.6461,2.6461
510,38.14512132,107.2176571,2.62,164,187,0.68,3259,,,,,,,,51184,4.8975,2.8699,0.0122,0.5921,0,0,0
511,38.14474975,107.2525895,3.28,148,248,1.02,3600,,,,,,,,51184,2.5403,1.4884,0.0063,0.3071,0.5656,0.9923,0.9923
512,38.17937887,105.925,3.28,148,248,0.27,3600,,,,,,,,51184,1.4113,0.8269,0.0035,0.1706,0.3142,0.5513,0.5513
513,38.17937391,105.9599514,6.56,164,189,3.38,2600,,,,,,,,51184,97.0241,36.5494,0.388,18.7702,34.5649,60.6401,60.6401
514,38.17777299,106.5541156,6.56,164,189,0.9,2600,,,,,,,,51184,36.1283,6.5921,0.0903,4.3683,8.0442,14.1126,14.1126
515,38.1775896,106.5890654,3.28,180,246,1.69,3900,,,,,,,,51184,4.2338,2.4807,0.0106,0.5119,0.707,1.2404,1.2404
516,38.20684823,105.959964,2.62,164,187,0.77,3259,,,,,,,,51184,5.5315,3.2415,0.0138,0.6689,0,0,0
517,38.20524676,106.5543427,3.28,98,194,2.82,3400,,,,,,,,51184,1.5524,0.9096,0.0039,0.1877,0.3456,0.6064,0.6064
518,38.2343221,105.9599766,3.28,180,246,2.7,3400,,,,,,,,51184,1.6935,0.9923,0.0042,0.2048,0.3771,0.6615,0.6615
519,38.23289366,106.5195947,3.94,148,230,0.57,2000,,,,,,,,51121,6.5271,1.5292,0.0065,0.3157,1.0171,1.7845,1.7845
520,38.23272007,106.5545699,6.56,164,203,0.25,2800,,,,,,,,51121,14.6418,3.4311,0.0146,0.7081,2.2819,4.0033,4.0033
521,38.2617955,105.9599892,4.92,148,201,3.57,2000,,,,,,,,51184,14.1126,8.2691,0.0353,1.7064,3.1423,5.5127,5.5127
522,38.26036657,106.5198095,2.62,164,187,7.04,3259,,,,,,,,51184,16.9351,9.9229,0.0423,2.0477,0,0,0
523,38.26019292,106.5547973,1.64,115,234,9.12,2300,,,,,,,,51121,21.8745,5.1268,0.0219,1.058,3.4094,5.9813,5.9813
524,38.26000934,106.589785,9.84,197,189,1.07,2600,,,,,,,,51184,112.9008,26.9573,0.2822,13.651,25.1381,44.1019,44.1019
525,38.28926844,105.9600019,2.62,148,234,1.76,700,,,,,,,,51184,10.5845,2.4807,0.0106,0.5119,0.2639,0.4631,0.4631
526,38.2880028,106.4850237,2.62,164,187,29.33,3259,,,,,,,,51184,42.3378,24.8073,0.1058,5.1191,0,0,0
527,38.28783902,106.5200244,3.28,148,248,0.6,3600,,,,,,,,51184,1.6935,0.9923,0.0042,0.2048,0.3771,0.6615,0.6615
528,38.28766531,106.5550248,2.62,164,187,1.32,3259,,,,,,,,51184,6.3507,3.7211,0.0159,0.7679,0,0,0
529,38.3167409,105.9600145,2.62,164,187,1.56,3259,,,,,,,,51184,11.2901,6.6153,0.0282,1.3651,0,0,0
530,38.31562875,106.4502127,3.94,131,174,0.56,3600,,,,,,,,51184,2.1169,1.2404,0.0053,0.256,0.4713,0.8269,0.8269
531,38.31547483,106.4852262,3.94,131,174,0.38,3600,,,,,,,,51184,1.6935,0.9923,0.0042,0.2048,0.3771,0.6615,0.6615
532,38.34419799,105.8549456,2.62,148,234,1.56,200,,,,,,,,51184,2.8225,1.6538,0.0071,0.3413,0.6285,1.1025,1.1025
533,38.34421289,105.8899728,4.92,164,392,0.69,3400,,,,,,,,51121,32.2076,10.9406,0.0467,2.2575,7.2753,12.7636,12.7636
534,38.34421289,105.9600272,4.92,148,367,0.08,2000,,,,,,,,51122,1.6229,0.1301,0.0014,0.0683,0.5166,0.9063,0.9063
535,38.34324438,106.4153764,4.59,148,393,5.01,3400,,,,,,,,51122,14.3298,12.1567,0.1129,5.4604,0.685,1.2018,1.2018
536,38.34310035,106.4504026,3.61,148,359,36.69,3259,,,,,,,,51122,22.9462,10.633,0.1291,6.2453,4.5789,8.0332,8.0332
537,38.37168439,105.8899601,3.94,164,359,32.89,3259,,,,,,,,51122,33.8548,15.6881,0.1905,9.2144,6.7555,11.8518,11.8518
538,38.37168936,105.925,2.62,148,359,3.32,3259,,,,,,,,51184,9.3143,5.4576,0.0233,1.1262,0,0,0
539,38.37168439,105.9600399,3.28,98,360,0.89,2600,,,,,,,,51121,36.3389,3.8446,0.0164,0.7935,2.5569,4.4857,4.4857
540,38.37166948,105.9950797,2.62,148,360,74.24,3259,,,,,,,,51122,18.8084,8.7156,0.0952,4.6072,3.7531,6.5844,6.5844
541,38.37071555,106.4155538,4.59,180,360,72.72,3259,,,,,,,,51122,56.4251,26.1469,0.3175,15.3574,11.2593,19.7532,19.7532
542,38.37057147,106.4505927,2.62,131,360,37.41,3259,,,,,,,,51122,13.1655,6.1224,0.0741,3.5834,2.6269,4.6086,4.6086
543,38.39914049,105.9951051,3.28,148,361,38,3259,,,,,,,,51122,18.8084,8.7156,0.1058,5.1191,3.7528,6.5839,6.5839
544,38.39911563,106.0301576,3.28,98,360,1.86,2400,,,,,,,,51122,15.7951,1.2624,0.1677,0.6672,5.0276,8.8204,8.8204
545,38.39866335,106.2755238,3.94,154,361,30.98,3259,,,,,,,,51122,22.5691,10.4588,0.127,6.143,4.5035,7.9009,7.9009
546,38.39844467,106.3456278,3.94,148,360,15.83,3259,,,,,,,,51122,13.1655,6.1004,0.0776,3.754,2.6269,4.6086,4.6086
547,38.39832042,106.3806796,2.62,98,361,13.03,2600,,,,,,,,51122,8.3011,3.9868,0.0434,2.0988,2.033,3.5667,3.5667
548,38.39818622,106.4157313,3.94,164,360,23.75,3259,,,,,,,,51122,24.4501,11.3298,0.1411,6.8255,4.879,8.5596,8.5596
549,38.39804209,106.4507829,3.94,164,360,47.51,3259,,,,,,,,51122,37.6167,17.4313,0.2116,10.2383,7.5062,13.1688,13.1688
550,38.39788802,106.4858343,4.92,148,367,0.15,2000,,,,,,,,51122,3.4488,0.2756,0.003,0.145,0.438,0.7685,0.7685
551,38.39772401,106.5208856,3.94,148,360,21.11,3259,,,,,,,,51122,22.5691,10.4588,0.127,6.143,4.5035,7.9009,7.9009
552,38.42658613,106.0301956,4.59,98,387,87.94,3200,,,,,,,,51122,17.4158,1819.2028,1099.5555,24.306,3.6849,6.4648,6.4648
553,38.42655133,106.0652608,3.94,164,360,8.34,3259,,,,,,,,51129,48.565,9.4466,0.0705,3.4128,5.7283,10.0497,10.0497
554,38.42613369,106.2756507,3.28,98,387,2.81,3200,,,,,,,,51129,4.9394,4.6307,0.0198,0.9556,0.9502,1.6671,1.6671
555,38.42602929,106.3107154,4.92,180,393,34,3400,,,,,,,,51129,10.0442,5.0993,0.4725,22.8552,3.5416,6.2134,6.2134
556,38.42591493,106.34578,2.62,98,360,11.27,2600,,,,,,,,51129,28.2252,5.9538,0.1129,5.4604,5.4298,9.526,9.526
557,38.42519403,106.5211013,3.28,131,360,3.2,3259,,,,,,,,51129,11.655,2.2668,0.0141,0.6826,1.3747,2.4118,2.4118
558,38.42502002,106.5561651,3.28,131,360,1.61,3259,,,,,,,,51129,6.7994,1.322,0.0194,0.9385,0.8019,1.4069,1.4069
559,38.42483606,106.5912287,3.94,131,360,2.97,3259,,,,,,,,51129,15.5404,3.0232,0.0529,2.5596,1.8332,3.2161,3.2161
560,38.45402131,106.0653116,3.94,148,360,1.39,3259,,,,,,,,51129,9.7123,1.8898,0.0882,4.2659,1.1463,2.011,2.011
561,38.45378258,106.2056226,4.59,164,392,15.42,3400,,,,,,,,51129,94.5081,147.6697,0.6299,30.4725,26.9348,47.2541,47.2541
562,38.45369803,106.2407002,3.94,148,360,10.7,3259,,,,,,,,51131,9.4047,4.3584,0.0176,0.8532,1.8766,3.2922,3.2922
563,38.45360353,106.2757777,4.59,164,360,31.73,3259,,,,,,,,51131,37.6167,17.4313,0.0705,3.4128,7.5062,13.1688,13.1688
564,38.45349909,106.3108551,3.94,148,360,2.02,3259,,,,,,,,51131,1.8523,0.4961,0.0053,0.256,0.1207,0.2117,0.2117
565,38.45266354,106.5213171,4.59,164,360,29.72,3259,,,,,,,,51132,38.1845,17.6926,0.1013,4.8813,7.619,13.3667,13.3667
566,38.45248947,106.5563936,4.59,164,360,72.72,3259,,,,,,,,51132,56.4284,26.1524,0.1206,5.6744,11.2587,19.7521,19.7521
567,38.48149077,106.0653624,3.94,164,360,31.9,3259,,,,,,,,51132,27.2737,12.6385,0.1264,6.0446,5.4424,9.5481,9.5481
568,38.481446,106.1004529,3.61,148,360,9.09,3259,,,,,,,,51132,8.4643,3.9218,0.0886,4.2864,0.2002,0.3512,0.3512
569,38.48139127,106.1355434,3.94,164,360,52.38,3259,,,,,,,,51132,24.2627,11.2427,0.0894,4.324,4.8416,8.494,8.494
570,38.48132659,106.1706339,4.92,98,379,30.46,8000,,,,,,,,51132,393.8541,74.4087,1.4996,72.545,20.5378,36.0312,36.0312
571,38.48125196,106.2057242,3.94,164,360,70.64,3259,,,,,,,,51132,67.1131,0,0.3121,14.9688,13.392,23.4947,23.4947
572,38.48107285,106.2759047,3.94,164,360,111.78,3259,,,,,,,,51131,75.2334,34.8625,0.1411,6.8255,15.0125,26.3376,26.3376
573,38.48096837,106.3109949,3.61,164,360,141.35,3259,,,,,,,,51131,87.4871,26.1469,0.1058,5.1191,11.259,19.7527,19.7527
574,38.47995841,106.5566223,3.94,148,360,30.79,3259,,,,,,,,51131,26.331,12.2019,0.0494,2.3889,5.8826,10.3204,10.3204
575,38.50843714,106.3111347,3.94,148,360,17.28,3259,,,,,,,,51131,15.0465,6.9725,0.0282,1.3651,3.0024,5.2674,5.2674
576,38.50742683,106.5568512,4.59,180,360,1.99,3259,,,,,,,,51132,56.4262,25.9694,0.0237,1.0306,1.118,1.9614,1.9614
577,38.50724269,106.591953,4.59,180,360,25.76,3259,,,,,,,,51132,58.306,27.019,0.127,6.143,11.6345,20.4115,20.4115
578,38.53489473,106.5570803,4.59,180,360,54.1,3259,,,,,,,,51132,58.306,27.019,0.127,6.143,11.6345,20.4115,20.4115
579,38.53471052,106.5921948,3.94,98,383,17,2800,,,,,,,,51132,10.1875,0,0.2955,6.701,0.6533,1.1461,1.1461
580,38.5623621,106.5573095,4.27,164,360,35.66,3259,,,,,,,,51132,56.3346,2.6097,0.0882,4.2659,11.2411,19.7213,19.7213
581,38.58982893,106.5575389,4.59,164,360,32,3259,,,,,,,,51132,53.7745,24.9187,0.0189,0.8564,10.7305,18.8254,18.8254
582,38.61729521,106.5577684,3.28,164,388,32.36,3200,,,,,,,,51132,9.7642,36.9133,4.8286,0.1067,2.5113,4.4058,4.4058
583,38.64476095,106.5579981,4.27,148,360,16.19,3259,,,,,,,,51132,22.5702,10.4588,0.0811,3.9247,4.5038,7.9014,7.9014
584,38.64457649,106.5931636,3.28,98,383,8.65,2600,,,,,,,,51132,22.2274,6.8071,0.0741,3.5834,4.0365,7.0817,7.0817
585,38.6720416,106.5934062,4.59,180,360,34.96,3259,,,,,,,,51132,94.0473,43.5837,0.2222,0.2222,18.7656,32.9221,32.9221
586,38.6718471,106.6285843,26.25,492,158,2.76,4900,,,,,,,,51108,8585.4467,119.0739,620.6597,5.7849,1357.5965,2340.6836,2340.6836
587,38.69931159,106.6288399,26.25,492,239,3.32,4900,,,,,,,,51108,567.7288,267.0893,993.0554,9.2558,38.6688,66.6703,66.6703
588,38.7267755,106.6290957,32.81,984,320,48.78,4900,,,,,,,,51108,10578.4677,13654.201,13542.4836,126.2227,175.5347,302.6461,302.6461
589,38.75511248,106.4532678,16.4,492,158,7.25,4900,,,,,,,,51108,1410.3308,1906.6263,657.7482,6.1306,300.0781,517.376,517.376
590,38.75423884,106.6293516,16.4,492,158,1.04,4900,,,,,,,,51108,264.6086,274.2668,94.6128,0.8818,43.1643,74.4212,74.4212
591,38.75403416,106.6645679,32.81,984,320,7.49,4900,,,,,,,,51108,13353.2417,226019.8506,2558.3509,23.845,125.3363,216.097,216.097
592,38.78272036,106.4182299,26.25,492,248,3.74,4900,,,,,,,,51182,24812.5695,664.8291,655.4771,6.1094,188.3241,324.6968,324.6968
